model,family,best_shape,params_b,vendor,n,aic_geometric,aic_linear,aic_threshold,r_perstep,r_lo,r_hi,a_intercept
deepseek,cipher,geometric,671.0,DeepSeek,125,124.0,127.9,124.4,0.9065249635659581,0.8555418868195508,0.9605462014527775,0.5644024940519489
deepseek,ledger,geometric,671.0,DeepSeek,125,29.1,,29.3,0.9976343273222685,0.9949641519878187,1.0,1.0
deepseek,refchain,geometric,671.0,DeepSeek,125,,,12.4,0.9992220572899468,0.9977014351369882,1.0,1.0
llama1b,cipher,geometric,1.2,Meta,125,4.0,,4.0,,,,
llama1b,ledger,threshold,1.2,Meta,125,105.0,111.9,103.9,0.8457912660423726,0.7685242989315987,0.9308266071847775,0.6799474918783524
llama1b,refchain,geometric,1.2,Meta,125,145.1,145.2,145.3,0.9938827244967058,0.9835771572940883,1.0,0.801447248386219
llama70b,cipher,geometric,70.0,Meta,125,55.6,,55.8,0.8324503466108871,0.6806060608571689,1.0,0.2212167458978182
llama70b,ledger,threshold,70.0,Meta,125,96.6,96.4,95.8,0.9949040840166636,0.9878637701711623,1.0,0.9271949047110879
llama70b,refchain,geometric,70.0,Meta,125,,,47.9,,,,
llama8b,cipher,threshold,8.0,Meta,125,30.9,,30.9,0.5161869405184452,0.20779866376819792,1.0,0.46608105910840086
llama8b,ledger,threshold,8.0,Meta,125,34.0,33.9,33.8,0.9968083558403106,0.9936954358678436,0.9999310275640739,1.0
llama8b,refchain,geometric,8.0,Meta,125,,,12.4,0.9992220572899468,0.9977014351369882,1.0,1.0
qwen7b,cipher,threshold,7.6,Alibaba,125,37.5,,37.5,0.4253480499005352,0.16502431820001973,1.0,1.0
qwen7b,ledger,geometric,7.6,Alibaba,125,,,69.5,0.9886751107267421,0.9825859308050072,0.9948020258846092,1.0
qwen7b,refchain,geometric,7.6,Alibaba,125,,,4.0,1.0,0.9999999997605721,1.0,0.9999999999999999
